"GEOID","Is_OZ","Group_byOZ"
"01003010500",1,"01003010500"
"01003010200",1,"01003010500"
"01003010300",0,"01003010500"
"01003010400",1,"01003010500"
"01003010600",1,"01003010500"
"01003011501",1,"01003011501"
"01003011000",0,"01003011501"
"01003011601",0,"01003011501"
"01003011502",1,"01003011501"
"01003011401",0,"01003011501"
"01009050500",1,"01009050500"
"01043965402",0,"01009050500"
"01009050200",0,"01009050500"
"01043965200",0,"01009050500"
"01009050300",0,"01009050500"
"01009050400",0,"01009050500"
"01009050700",0,"01009050500"
"01009050602",0,"01009050500"
"01043965300",0,"01009050500"
"01043965000",1,"01043965000"
"01043964800",1,"01043965000"
"01043964700",0,"01043965000"
"01043964900",0,"01043965000"
"01043965100",0,"01043965000"
"01073000500",1,"01073000500"
"01073002305",0,"01073000500"
"01073000300",1,"01073000500"
"01073002400",1,"01073000500"
"01073000700",1,"01073000500"
"01073005500",0,"01073000500"
"01073001600",1,"01073000500"
"01073000400",1,"01073000500"
"01073002900",1,"01073002900"
"01073003002",1,"01073002900"
"01073001500",1,"01073002900"
"01073002700",1,"01073002900"
"01073004200",1,"01073002900"
"01073001400",1,"01073002900"
"01081040700",1,"01081040700"
"01081040400",0,"01081040700"
"01081040800",1,"01081040700"
"01081040604",1,"01081040700"
"01081040602",0,"01081040700"
"01081040200",1,"01081040700"
"01081040603",0,"01081040700"
"01081040300",1,"01081040700"
"01089003000",1,"01089003000"
"01089001000",0,"01089003000"
"01089003100",1,"01089003000"
"01089000202",1,"01089003000"
"01089000702",0,"01089003000"
"01089000901",0,"01089003000"
"01089001200",0,"01089003000"
"01089000201",1,"01089003000"
"01089000701",0,"01089003000"
"01097000401",1,"01097000401"
"01097001001",0,"01097000401"
"01097000200",1,"01097000401"
"01097000500",0,"01097000401"
"01097000901",0,"01097000401"
"01097000402",0,"01097000401"
"01097001302",1,"01097001302"
"01097007400",1,"01097001302"
"01097000903",0,"01097001302"
"01097001100",0,"01097001302"
"01097001200",1,"01097001302"
"01097001501",1,"01097001302"
"01097001002",1,"01097001302"
"01097001502",1,"01097001302"
"01097001400",1,"01097001302"
"01097002800",1,"01097002800"
"01097002502",0,"01097002800"
"01097003204",0,"01097002800"
"01097003301",0,"01097002800"
"01097002501",0,"01097002800"
"01097002700",0,"01097002800"
"01097003302",0,"01097002800"
"01097002900",0,"01097002800"
"01101001100",1,"01101001100"
"01101000200",1,"01101001100"
"01101001200",0,"01101001100"
"01101002400",0,"01101001100"
"01101001000",1,"01101001100"
"01101000100",1,"01101001100"
"01101002300",0,"01101001100"
"01113030200",1,"01113030200"
"01113030500",0,"01113030200"
"01113030300",0,"01113030200"
"01113030700",0,"01113030200"
"13215001600",1,"01113030200"
"13215011100",1,"01113030200"
"01119011300",1,"01119011300"
"01119011500",0,"01119011300"
"01063060200",1,"01119011300"
"01119011400",0,"01119011300"
"01091972900",1,"01119011300"
"01091973400",0,"01119011300"
"28069030100",0,"01119011300"
"01121010900",1,"01121010900"
"01121010700",0,"01121010900"
"01121010400",0,"01121010900"
"01121011000",0,"01121010900"
"01121010600",0,"01121010900"
"01121010500",0,"01121010900"
"01125012800",1,"01125012800"
"01125012600",1,"01125012800"
"01125012100",1,"01125012800"
"01125012700",0,"01125012800"
"01133965700",1,"01133965700"
"01133965600",0,"01133965700"
"01079979900",0,"01133965700"
"01093964000",0,"01133965700"
"01133965800",0,"01133965700"
"01059973700",1,"01133965700"
"01015000800",1,"01015000800"
"01015000200",0,"01015000800"
"01015000500",0,"01015000800"
"01015000900",0,"01015000800"
"01015001201",0,"01015000800"
"01015000600",0,"01015000800"
"01015001000",0,"01015000800"
"01015000300",0,"01015000800"
"01043964800",1,"01043964800"
"01043965000",1,"01043964800"
"01043964700",0,"01043964800"
"01043964900",0,"01043964800"
"01013952800",1,"01013952800"
"01013952700",0,"01013952800"
"01013953200",0,"01013952800"
"01013952900",0,"01013952800"
"01013953100",0,"01013952800"
"01023956800",1,"01023956800"
"01025957700",0,"01023956800"
"01023956700",0,"01023956800"
"01091973300",0,"01023956800"
"01023956900",0,"01023956800"
"28023950100",0,"01023956800"
"01033020200",1,"01033020200"
"01077010200",0,"01033020200"
"01033020100",0,"01033020200"
"01077011200",0,"01033020200"
"01033020300",0,"01033020200"
"01063060200",1,"01063060200"
"01063060000",0,"01063060200"
"01119011300",1,"01063060200"
"01063060100",0,"01063060200"
"01065040300",0,"01063060200"
"01119011400",0,"01063060200"
"01091972900",1,"01063060200"
"01065040400",1,"01063060200"
"01065040500",0,"01063060200"
"01073003002",1,"01073003002"
"01073002900",1,"01073003002"
"01073003900",1,"01073003002"
"01073004000",0,"01073003002"
"01073003001",1,"01073003002"
"01073004200",1,"01073003002"
"01073001400",1,"01073003002"
"01073001200",1,"01073003002"
"01073003900",1,"01073003900"
"01073003002",1,"01073003900"
"01073003802",0,"01073003900"
"01073004000",0,"01073003900"
"01073003001",1,"01073003900"
"01073003700",0,"01073003900"
"01073003803",0,"01073003900"
"01073003100",0,"01073003900"
"01081040800",1,"01081040800"
"01081040700",1,"01081040800"
"01081040902",0,"01081040800"
"01081040602",0,"01081040800"
"01081040200",1,"01081040800"
"01081041300",1,"01081041300"
"01081041100",1,"01081041300"
"01081041200",0,"01081041300"
"01081041600",0,"01081041300"
"01081041400",0,"01081041300"
"01083020600",1,"01083020600"
