State,GEOID,Type
Alabama,01001020700,Low-Income Community
Alabama,01003010200,Low-Income Community
Alabama,01003010400,Non-LIC Contiguous
Alabama,01003010500,Low-Income Community
Alabama,01003010600,Low-Income Community
Alabama,01003011501,Non-LIC Contiguous
Alabama,01003011502,Low-Income Community
Alabama,01005950100,Low-Income Community
Alabama,01007010002,Low-Income Community
Alabama,01009050500,Low-Income Community
Alabama,01011952200,Low-Income Community
Alabama,01013952800,Low-Income Community
Alabama,01015000700,Low-Income Community
Alabama,01015000800,Low-Income Community
Alabama,01015002101,Low-Income Community
Alabama,01017954300,Low-Income Community
Alabama,01019955900,Low-Income Community
Alabama,01021060102,Low-Income Community
Alabama,01023956800,Low-Income Community
Alabama,01025957902,Low-Income Community
Alabama,01027959000,Low-Income Community
Alabama,01029959600,Low-Income Community
Alabama,01031010900,Low-Income Community
Alabama,01033020200,Low-Income Community
Alabama,01035960400,Low-Income Community
Alabama,01037961000,Low-Income Community
Alabama,01039962000,Low-Income Community
Alabama,01039962700,Low-Income Community
Alabama,01041963700,Low-Income Community
Alabama,01043964800,Low-Income Community
Alabama,01043965000,Low-Income Community
Alabama,01045020700,Low-Income Community
Alabama,01047956500,Low-Income Community
Alabama,01049960900,Low-Income Community
Alabama,01051031000,Low-Income Community
Alabama,01051031300,Low-Income Community
Alabama,01053970400,Low-Income Community
Alabama,01055001200,Low-Income Community
Alabama,01057020300,Low-Income Community
Alabama,01059973700,Low-Income Community
Alabama,01061050300,Low-Income Community
Alabama,01063060200,Low-Income Community
Alabama,01065040400,Low-Income Community
Alabama,01067030200,Low-Income Community
Alabama,01069041500,Low-Income Community
Alabama,01071950600,Low-Income Community
Alabama,01073000100,Low-Income Community
Alabama,01073000300,Low-Income Community
Alabama,01073000400,Low-Income Community
Alabama,01073000500,Low-Income Community
Alabama,01073000700,Low-Income Community
Alabama,01073000800,Low-Income Community
Alabama,01073001200,Low-Income Community
Alabama,01073001400,Low-Income Community
Alabama,01073001500,Low-Income Community
Alabama,01073001600,Low-Income Community
Alabama,01073001902,Low-Income Community
Alabama,01073002200,Low-Income Community
Alabama,01073002303,Low-Income Community
Alabama,01073002400,Low-Income Community
Alabama,01073002700,Low-Income Community
Alabama,01073002900,Low-Income Community
Alabama,01073003001,Low-Income Community
Alabama,01073003002,Low-Income Community
Alabama,01073003200,Low-Income Community
Alabama,01073003900,Low-Income Community
Alabama,01073004200,Low-Income Community
Alabama,01073004500,Low-Income Community
Alabama,01073010200,Low-Income Community
Alabama,01073011209,Low-Income Community
Alabama,01073011705,Non-LIC Contiguous
Alabama,01073012002,Low-Income Community
Alabama,01073012701,Low-Income Community
Alabama,01073013100,Low-Income Community
Alabama,01075030100,Low-Income Community
Alabama,01077010100,Low-Income Community
Alabama,01077010900,Low-Income Community
Alabama,01079979100,Low-Income Community
Alabama,01081040200,Low-Income Community
Alabama,01081040300,Low-Income Community
Alabama,01081040604,Low-Income Community
Alabama,01081040700,Low-Income Community
Alabama,01081040800,Low-Income Community
Alabama,01081041100,Low-Income Community
Alabama,01081041300,Low-Income Community
Alabama,01083020201,Low-Income Community
